"","Year","District","Block","Crop","Yield"
"1080",2013,"D22","B1","Sugarcane",72260
"1081",2013,"D22","B120","Sugarcane",140000
"1082",2013,"D22","B3","Sugarcane",65000
"1083",2013,"D22","B4","Sugarcane",80880
"1090",2013,"D4","B11","Sugarcane",79014
"1095",2013,"D18","B16","Sugarcane",73520
"1104",2013,"D1","B24","Sugarcane",64400
"1106",2013,"D1","B26","Sugarcane",77800
"1107",2013,"D1","B27","Sugarcane",75567
"1108",2013,"D1","B28","Sugarcane",75567
"1113",2013,"D17","B33","Sugarcane",68387
"1114",2013,"D17","B34","Sugarcane",59123
"1115",2013,"D17","B35","Sugarcane",66450
"1116",2013,"D17","B36","Sugarcane",60273
"1117",2013,"D17","B37","Sugarcane",65711
"1118",2013,"D6","B38","Sugarcane",84600
"1119",2013,"D6","B39","Sugarcane",80860
"1120",2013,"D6","B40","Sugarcane",81929
"1121",2013,"D6","B41","Sugarcane",81929
"1122",2013,"D6","B42","Sugarcane",81929
"1123",2013,"D19","B43","Sugarcane",86200
"1124",2013,"D19","B44","Sugarcane",88400
"1125",2013,"D19","B45","Sugarcane",79914
"1126",2013,"D19","B46","Sugarcane",74733
"1127",2013,"D19","B47","Sugarcane",68025
"1128",2013,"D19","B48","Sugarcane",72052
"1129",2013,"D19","B49","Sugarcane",88700
"1134",2013,"D12","B54","Sugarcane",73520
"1137",2013,"D12","B57","Sugarcane",73520
"1138",2013,"D12","B58","Sugarcane",73520
"1141",2013,"D3","B61","Sugarcane",64400
"1142",2013,"D13","B62","Sugarcane",48556
"1143",2013,"D13","B63","Sugarcane",58400
"1144",2013,"D13","B64","Sugarcane",64700
"1145",2013,"D13","B65","Sugarcane",49667
"1146",2013,"D15","B66","Sugarcane",73143
"1147",2013,"D15","B67","Sugarcane",75700
"1148",2013,"D15","B68","Sugarcane",86667
"1149",2013,"D15","B69","Sugarcane",79533
"1150",2013,"D15","B70","Sugarcane",73133
"1151",2013,"D9","B71","Sugarcane",85967
"1152",2013,"D9","B72","Sugarcane",61373
"1153",2013,"D9","B73","Sugarcane",83133
"1154",2013,"D9","B74","Sugarcane",77300
"1155",2013,"D9","B75","Sugarcane",89500
"1156",2013,"D9","B76","Sugarcane",71220
"1157",2013,"D10","B77","Sugarcane",75106
"1158",2013,"D10","B78","Sugarcane",74432
"1159",2013,"D10","B79","Sugarcane",82055
"1160",2013,"D10","B80","Sugarcane",71740
"1161",2013,"D10","B81","Sugarcane",75088
"1162",2013,"D8","B82","Sugarcane",79535
"1163",2013,"D8","B83","Sugarcane",85620
"1164",2013,"D8","B84","Sugarcane",46284
"1165",2013,"D8","B85","Sugarcane",46283
"1166",2013,"D8","B86","Sugarcane",84108
"1167",2013,"D8","B87","Sugarcane",74000
"1169",2013,"D21","B88","Sugarcane",78433
"1170",2013,"D21","B89","Sugarcane",78013
"1171",2013,"D21","B90","Sugarcane",71044
"1172",2013,"D21","B91","Sugarcane",71175
"1173",2013,"D21","B92","Sugarcane",65887
"1174",2013,"D21","B93","Sugarcane",64215
"1176",2013,"D14","B6","Sugarcane",63200
"1177",2013,"D14","B95","Sugarcane",62433
"1179",2013,"D20","B97","Sugarcane",72585
"1180",2013,"D20","B98","Sugarcane",70819
"1181",2013,"D20","B99","Sugarcane",73500
"1182",2013,"D20","B100","Sugarcane",68664
"1183",2013,"D20","B101","Sugarcane",57145
"1184",2013,"D20","B102","Sugarcane",76914
"1185",2013,"D7","B103","Sugarcane",80472
"1186",2013,"D7","B104","Sugarcane",78467
"1187",2013,"D7","B105","Sugarcane",69800
"1188",2013,"D7","B106","Sugarcane",83867
"1189",2013,"D7","B107","Sugarcane",85600
"1190",2013,"D7","B108","Sugarcane",84700
"1191",2013,"D7","B109","Sugarcane",72600
"2038",2014,"D22","B1","Sugarcane",72878
"2039",2014,"D22","B120","Sugarcane",80138
"2040",2014,"D22","B3","Sugarcane",75000
"2041",2014,"D22","B4","Sugarcane",35400
"2042",2014,"D22","B5","Sugarcane",86000
"2043",2014,"D22","B6","Sugarcane",17200
"2044",2014,"D22","B7","Sugarcane",80060
"2045",2014,"D22","B8","Sugarcane",63000
"2047",2014,"D4","B10","Sugarcane",88400
"2048",2014,"D4","B11","Sugarcane",75588
"2049",2014,"D4","B12","Sugarcane",82260
"2050",2014,"D4","B13","Sugarcane",77000
"2051",2014,"D4","B14","Sugarcane",62748
"2052",2014,"D4","B15","Sugarcane",106000
"2054",2014,"D18","B17","Sugarcane",73907
"2061",2014,"D1","B24","Sugarcane",58200
"2063",2014,"D1","B26","Sugarcane",85150
"2064",2014,"D1","B27","Sugarcane",76167
"2070",2014,"D17","B33","Sugarcane",71530
"2071",2014,"D17","B34","Sugarcane",59618
"2072",2014,"D17","B35","Sugarcane",80200
"2073",2014,"D17","B36","Sugarcane",67145
"2074",2014,"D17","B37","Sugarcane",66738
"2075",2014,"D6","B38","Sugarcane",49430
"2076",2014,"D6","B39","Sugarcane",80400
"2077",2014,"D6","B40","Sugarcane",67240
"2078",2014,"D6","B41","Sugarcane",71574
"2079",2014,"D6","B42","Sugarcane",71574
"2080",2014,"D19","B43","Sugarcane",87717
"2081",2014,"D19","B44","Sugarcane",79474
"2082",2014,"D19","B45","Sugarcane",67520
"2083",2014,"D19","B46","Sugarcane",60667
"2084",2014,"D19","B47","Sugarcane",85475
"2085",2014,"D19","B48","Sugarcane",65050
"2086",2014,"D19","B49","Sugarcane",89236
"2091",2014,"D12","B54","Sugarcane",73907
"2095",2014,"D12","B58","Sugarcane",73907
"2097",2014,"D3","B61","Sugarcane",76333
"2098",2014,"D13","B62","Sugarcane",30900
"2099",2014,"D13","B63","Sugarcane",47153
"2100",2014,"D13","B64","Sugarcane",28920
"2101",2014,"D13","B65","Sugarcane",62650
"2102",2014,"D15","B66","Sugarcane",89500
"2103",2014,"D15","B67","Sugarcane",76000
"2104",2014,"D15","B68","Sugarcane",98000
"2106",2014,"D15","B70","Sugarcane",94500
"2107",2014,"D9","B71","Sugarcane",92970
"2108",2014,"D9","B72","Sugarcane",93850
"2109",2014,"D9","B73","Sugarcane",80388
"2110",2014,"D9","B74","Sugarcane",87438
"2111",2014,"D9","B75","Sugarcane",81900
"2112",2014,"D9","B76","Sugarcane",67800
"2113",2014,"D10","B77","Sugarcane",84309
"2114",2014,"D10","B78","Sugarcane",76647
"2115",2014,"D10","B79","Sugarcane",87571
"2116",2014,"D10","B80","Sugarcane",86337
"2117",2014,"D10","B81","Sugarcane",79983
"2118",2014,"D8","B82","Sugarcane",85700
"2119",2014,"D8","B83","Sugarcane",65270
"2120",2014,"D8","B84","Sugarcane",81650
"2121",2014,"D8","B85","Sugarcane",38200
